id,Historical Period,Time/Century,Edition name,URL,Scholarly,Digital,Edition,Language,Writing support,Begin date,End date,Manager or Editor,Institution(s),Audience,Philological statement,Account of textual variance,Value of witnesses,XML-TEI Transcription,XML(-TEI) available to download,Images,Zoom images,"Image manipulation (brightness, rotation, etc.)",Text-Image Linking,Source Text Translation,Website language,Glossary,Indices,String matching,Advanced search,Creative Commons License,Open source/Open access,Linked Open Data,API,Crowdsourcing,Feedback,Technological statement,Links to ext. resources,OCR or keyed?,Mobile friendly/application,Print-friendly view,Print facsimile (complementary output),Repository of source material(s),Place of origin of source material(s),Sponsor/Funding body,Budget (rough),Infrastructure,Current availability,RIDE review,Sahle Catalog,Citation,Handle-PID
11,Early Modern,1740s-1770s,"The Saint-Aubins ""Book of Arses"": The Livre de Caricatures tant bonnes que mauvaises",http://www.waddesdon.org.uk/collection/special-projects/st.-aubin,yes,yes,no,FRE,Manuscript,forthcoming,not provided,Colin Jones,Queen Mary University,not provided,partly,not provided,yes,no,no,yes,yes,no,no,no,ENG,not provided,not provided,no,no,no,yes,not provided,no,no,not provided,no,no,Keyed,no,not provided,not provided,Waddesdon Manor,England,AHRC,"£204,283.00",not provided,no,no,no,not provided,21.11115/0000-000B-D08A-E
12,Antiquity,1st BC,Catullus Online,http://www.catullusonline.org/CatullusOnline/index.php,yes,yes,yes,LAT,Manuscript,2009,2013,Dániel Kiss,Ludwig-Maximilians-Universität München,Specialists; researchers; students,partly,not provided,yes,no,no,yes,yes,no,no,no,ENG,no,no,yes,yes,no,yes,no,no,no,yes,no,yes,Keyed,no,not provided,forthcoming,Various,Italy,Ludwig-Maximilians-Universität München,"€10,000",JavaScript; HTML; CSS,yes,no,yes,not provided,21.11115/0000-000B-D08B-D
13,Middle Ages,10th-11th,Digital edition of the Old Church Slavonic Codex Suprasliensis,http://suprasliensis.obdurodon.org/,no,no,no,CHU,Manuscript,2008,present,David J. Birnbaum,University of Pittsburgh (Department of Slavic Languages and Literatures); National Library in Warsaw; National Library of Russia; National and University Library in Ljubljana,Global audience,yes,yes,yes,no,no,yes,yes,no,no,GRC,ENG,no,no,no,no,yes,yes,no,no,no,no,partly,no,Keyed,no,no,no,National Library in Warsaw; National Library of Russia; National and University Library of Slovenia,"Preslav, Bulgaria",UNESCO,not provided,obdurodon.org,yes,no,no,not provided,21.11115/0000-000B-D08C-C
14,Middle Ages,1195,Becerro Galicano of San Millán de la Cogolla,http://www.ehu.es/galicano/?l=en,yes,yes,yes,LAT,Codex; Cartulary,not provided,not provided,David Peterson,Universidad del PaÍs Vasco,not provided,partly,not provided,yes,yes,yes,yes,yes,no,no,no,ENG; SPA; BAQ,no,yes,yes,yes,yes,Open Access and Open Source (some data),no,no,no,yes,no,no,Keyed,no,no,no,Various,San Millán de la Cogolla,Fundación San Millán Cogolla,not provided,not provided,yes,http://ride.i-d-e.de/issues/issue-2/becerro-galicano/,yes,not provided,21.11115/0000-000B-D08D-B
15,Middle Ages,9th,The Durham Liber Vitae Project,http://www.dlv.org.uk/index.html,yes,yes,yes,ANG (Northumbrian),Manuscript,2003,2007,David Rollason,King's College London (Department of Digital Humanities); University of Durham,not provided,partly,not provided,yes,no,no,no,no,no,no,no,ENG,no,no,no,no,no,yes,no,no,no,yes,no,no,Keyed,no,yes,not provided,Durham Cathedral Priory,"Northumbrian church, probably Lindisfarne, but possibly Monkwearmouth/Jarrow.",not provided,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D08E-A
16,Contemporary,1920s-1960s,Samuel Beckett Digital Manuscript Project,http://www.beckettarchive.org/login.html,yes,yes,yes,ENG,Manuscript,2007,2013,Dirk Van Hulle,University of Antwerp; University of Reading; Harry Ransom Humanities Research Center; Estate of Samuel Beckett,not provided,yes,not provided,yes,yes,no,yes,yes,not provided,not provided,not provided,ENG,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,Keyed,no,not provided,yes,Various,France,European Research Coucil,not provided,Java; XML-TEI,yes,no,yes,not provided,21.11115/0000-000B-D08F-9
17,Antiquity; Middle Ages,4th-15th,Euripides Scholia,http://euripidesscholia.org,yes,no,yes,GRC,Manuscript,2007,2010,Donald J. Mastronarde,University of California Irvine,Scholars; students,yes,partly,yes,yes,no,no,no,no,no,no,ENG,no,no,no,no,yes,yes,no,no,no,yes,yes,no,Keyed,no,no,no,Various,Various,Loeb Classical Library Foundation (in part),not provided,HTML/CSS; Alpheios,yes,no,yes,not provided,21.11115/0000-000B-D090-6
18,Middle Ages,1225,Heimskringla,http://omacl.org/Heimskringla/,yes,yes,no,NON,Book,1996,not provided,Douglas B. Killings,not provided,not provided,partly,no,no,no,no,no,no,no,no,no,ENG,no,no,no,no,no,Open Access and Open Source (all data),no,no,no,yes,no,no,Keyed,no,not provided,not provided,Various; National and University Library of Iceland,Iceland,not provided,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D091-5
19,Middle Ages,12th,Partonopeus de Blois,https://hridigital.shef.ac.uk/partonopeus/,yes,yes,yes,FRO,Manuscript,not provided,not provided,Penny Simons,University of Sheffield,Scholars of Old French texts and manuscripts,partly,not provided,yes,partly,no,no,not provided,not provided,not provided,not provided,ENG,not provided,not provided,yes,yes,no,yes,no,no,no,yes,yes,no,Keyed,no,not provided,not provided,Bibliothèque nationale de France; Bibliothèque de l'Arsenal; Bibliothèque municipale de Tours; Burgerbibliothek Bern; Biblioteca Apostolica Vaticana; Beinecke Rare Book and Manuscript Library; Parker Library Corpus Christi College Cambridge,France,AHRC,not provided,CSS; HTML; Java; MySQL; XML; XSLT,yes,no,yes,not provided,21.11115/0000-000B-D092-4
20,Middle Ages,1216-1272,Henry III Fine Rolls Project,http://www.finerollshenry3.org.uk/,yes,yes,yes,LAT,Manuscript; Roll,2005,2011,Beth Hartland; Harold Short; Arianna Ciula; David Carpenter; David Crook; Sean Cunningham; Paul Dryburgh; Louise Wilkinson,King's College London (Department of Digital Humanities); Canterbury Christ Church University,not provided,yes,no,yes,no,no,yes,yes,no,no,no,ENG,no,yes,yes,yes,no,Open Access and Open Source (some data),no,no,no,yes,yes,yes,Keyed,no,not provided,yes,The National Archives,England,AHRC,not provided,xMod (KCL custom),yes,no,yes,not provided,21.11115/0000-000B-D093-3
21,Early Modern,18th,Die Briefwechsel der Mathematiker Bernoulli,http://www.ub.unibas.ch/bernoulli/index.php/Hauptseite,yes,yes,yes,LAT,Letter,1997,present,Fritz Nagel,University of Basel,"Mathematicians; physicists; historians of science or local history; partner editions (e.g. The Euler Edition, the Leibniz Edition, the Dalambert Edition); biographers",yes,not provided,yes,no,no,no,no,no,no,no,GER,yes,no,yes,yes,yes,Open Access and Open Source (all data),no,no,no,yes,no,yes,Keyed,no,not provided,not provided,University of Basel,Switzerland,Schweizerischer Nationalfonds zur Förderung der wissenschaftlichen Forschung (SNF),not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D094-2
22,Early Modern,1749-1750,La Famiglia dell'Antiquario,http://www.intratext.com/X/ITA0763.HTM,yes,yes,no,ITA,Libretto,1996,2005,Giuseppe Bonghi,Èulogos S.p.A.,not provided,no,not provided,not provided,no,no,no,no,no,no,no,ITA,yes,no,no,no,no,Open Access and Open Source (all data),no,no,no,yes,no,no,Keyed,no,not provided,not provided,not provided,Italy,not provided,not provided,HTML,yes,no,yes,not provided,21.11115/0000-000B-D095-1
23,Middle Ages,980-1060,Die Glossen Ekkeharts IV. im Codex Sangallensis 621,http://orosius.monumenta.ch/,yes,yes,yes,LAT,Manuscript,2005,2010,Heidi Eisenhut,University of Zürich,not provided,yes,not provided,yes,partly,no,yes,yes,yes,no,no,GER,yes,yes,yes,yes,yes,Open Access and Open Source (all data),no,no,no,yes,no,yes,Keyed,yes,not provided,not provided,Stiftsbibliothek St. Gallen,Switzerland,Schweizerischer Nationalfonds zur Förderung der wissenschaftlichen Forschung (SNF); Stiftsbibliothek St. Gallen (STBSG),not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D096-0
24,Antiquity,6th BC-4th AD,Inscriptions of the Northern Black Sea (IOSPE),http://iospe.kcl.ac.uk/corpus/index.html,yes,yes,yes,GRC; LAT,Tablets; Prism; Cylinder; Rock face; Stele; Wall; Threshold slab,forthcoming,not provided,Irene Polinskaya,King's College London (Department of Classics); King's College London (Department of Digital Humanities); Russian Academy of Sciences; Institute Ausonius - CNRS - University of Bordeaux 3; The State Hermitage,Researchers,partly,not provided,yes,yes,yes,yes,yes,no,no,ENG,ENG; RUS,no,yes,yes,yes,yes,Open Access and Open Source (all data),no,no,no,yes,no,no,Keyed,yes,not provided,forthcoming,not provided,"Northern Black Sea, Bulgaria, Romania, Ukraine",A. G. Leventis Foundation; Loeb Library Foundation; British Academy (2008-2009); Russian Foundation for the Humanities;  Russian Foundation for Basic Research; Swiss National Science Foundation (SNSF); Ministère des Affaires étrangères et européennes (MAEE); Centre nationale de la recherche scientifique,not provided,xMod (KCL custom); EpiDoc,yes,no,yes,not provided,21.11115/0000-000B-D097-F
25,Early Modern,1615,La Entretenida Digital Edition,http://entretenida.outofthewings.org/index.html,yes,yes,yes,SPA,Manuscript,not provided,not provided,John O'Neill,King's College London (Department of Digital Humanities),Academics; theatre practitioners; translators,yes,not provided,yes,no,no,yes,no,no,no,ENG,ENG,no,yes,no,no,no,Open Access and Open Source (some data),no,no,no,yes,no,yes,Keyed,no,not provided,not provided,not provided,Spain,AHRC,not provided,xMod (KCL custom),yes,no,yes,not provided,21.11115/0000-000B-D098-E
26,Early Modern,1720,A Survey of the Cities of London and Westminster by John Strype,http://www.hrionline.ac.uk/strype/,yes,yes,yes,ENG,Book,2007,present,Julia Merritt,University of Sheffield; University of Nottingham,not provided,yes,not provided,not provided,yes,no,partly,yes,no,no,not provided,ENG,yes,no,yes,no,no,Open Access and Open Source (some data),no,no,no,yes,partly,yes,Keyed,no,not provided,not provided,British Library; MOTCO Enterprises Limited (Maps and Illustrations),England,The Leverhulme Trust; University of Sheffield,not provided,XML-TEI,no,no,yes,not provided,21.11115/0000-000B-D099-D
27,Early Modern,1559-1588,Letters of William Herle Project,http://www.livesandletters.ac.uk/herle/index.html,yes,yes,yes,ENG,Letter,not provided,2006,Matthew Symonds,University College London,not provided,yes,not provided,yes,yes,no,no,no,no,no,no,ENG,no,no,yes,yes,no,Open Access and Open Source (some data),no,no,no,yes,partly,yes,Keyed,no,not provided,not provided,British Library; The National Archives; Bodleian Library; Magdalene College Old Library; Longleat House; Hatfield House,England,AHRC,not provided,XHTML,yes,no,yes,not provided,21.11115/0000-000B-D09A-C
28,Early Modern,1585-1597,The Diplomatic Correspondence of Thomas Bodley,http://www.livesandletters.ac.uk/bodley/bodley.html,yes,yes,yes,ENG,Manuscript; Letter,not provided,not provided,Matthew Symonds,University College London; Bodleian Library,not provided,yes,not provided,yes,yes,no,no,no,no,no,no,ENG,no,no,yes,no,yes,Open Access and Open Source (all data),no,no,no,no,no,yes,Keyed,no,not provided,not provided,"British Library; The National Archives; Hatfield House; Bodleian Library; Lambeth Palace Library; Kent History and Library Centre; Leiden University Library; Huntingon Library, Art Collections, and Botanical Gardens",England,not provided,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D09B-B
29,Early Modern,1661-1691,The Hooke Folio Online,http://www.livesandletters.ac.uk/cell/Hooke/Hooke.html,yes,yes,yes,ENG,Manuscript,not provided,not provided,Matthew Symonds,University College London,Students; scholars; general public,partly,not provided,yes,partly,no,yes,yes,no,no,no,ENG,no,no,yes,no,no,yes,no,no,no,yes,no,no,Keyed,no,not provided,not provided,Royal Society,England,not provided,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D09C-A
30,Early Modern,1647-1691,The Workdiaries of Robert Boyle,http://www.livesandletters.ac.uk/wd/index.html,yes,yes,yes,ENG,Manuscript; Diary,1997,2001,Matthew Symonds,University College London; Royal Society; British Library; Birkbeck College,not provided,yes,not provided,yes,yes,no,yes,yes,no,no,no,ENG,no,no,yes,no,no,yes,no,no,no,yes,yes,no,Keyed,no,not provided,not provided,Royal Society; British Library,England,The Wellcome Trust; Heritage Lottery Fund,not provided,XML-TEI; XSLT; XHTML; Python,yes,no,yes,not provided,21.11115/0000-000B-D09D-9
31,Early Modern,1700s-1730s,Jonathan Swift Archive,http://jonathanswiftarchive.org.uk/index.html,yes,yes,yes,ENG,Early printed edition,2004,present,Paddy Bullard,King's College London (Department of Digital Humanities); Keele University; University of Oxford,not provided,partly,partly,partly,yes,yes,no,no,no,no,no,ENG,no,yes,yes,no,no,Open Access and Open Source (some data),no,no,no,yes,yes,yes,Keyed,no,not provided,yes,not provided,Ireland,AHRC,not provided,xMod (KCL custom); TEI-XML; XSLT; Java; Tomcat,yes,no,no,not provided,21.11115/0000-000B-D09E-8
32,Middle Ages,850-851,The St Gall Priscian Glosses,http://www.stgallpriscian.ie,yes,yes,yes,LAT,Manuscript,2009,2011,Pádraic Moran,National University of Ireland,"Scholars; research students in the fields of Celtic linguistics, Late Antique and medieval Latin, history of linguistics",partly,not provided,yes,partly,yes,yes,yes,yes,no,not provided,ENG,no,no,yes,yes,no,Open Access and Open Source (all data),no,no,no,yes,no,yes,Keyed,no,not provided,not provided,Stiftsbibliothek St. Gallen,Ireland,Irish Research Council for Humanities and Social Sciences,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D09F-7
33,Long Nineteenth Century; Modern,19th-20th,Nietzsche Source,http://www.nietzschesource.org/,yes,yes,yes,GER,Manuscript; Book; Letter,not provided,not provided,Paolo D'Iorio,CNRS (Centre national de la recherche scientifique),Scholars,partly,yes,yes,yes,yes,no,no,no,no,not provided,GER; ENG; ITA; FRE,no,no,yes,yes,yes,Open Access and Open Source (all data),no,no,no,yes,partly,no,Keyed,no,not provided,not provided,not provided,Various,not provided,not provided,XML-TEI,yes,http://ride.i-d-e.de/issues/issue-1/nietzschesource/,yes,not provided,21.11115/0000-000B-D0A0-4
34,Middle Ages,9th,Early Irish Glossaries Database,http://www.asnc.cam.ac.uk/irishglossaries/,yes,yes,yes,SGA,Manuscript,2006,2009,Paul Russell,University of Cambridge,Scholars,yes,yes,yes,yes,no,no,no,no,no,no,ENG,no,no,yes,yes,no,yes,no,no,no,yes,yes,yes,Keyed,no,not provided,not provided,Trinity College Dublin; University College Dublin; Royal Irish Academy; British Library; Bodleian Library,Ireland,AHRC,not provided,MySQL; PHP; TEI-XML; Apache,yes,no,no,not provided,21.11115/0000-000B-D0A1-3
35,Early Modern,1577; 1587,The Holinshed Project,http://www.cems.ox.ac.uk/holinshed/index.shtml,yes,yes,yes,ENM,Manuscript,2008,2013,Paulina Kewes,University of Oxford,not provided,partly,partly,yes,yes,no,no,no,no,no,not provided,ENG,no,no,no,no,no,yes,no,no,no,yes,no,yes,Keyed,no,not provided,not provided,not provided,England,not provided,not provided,TEI-XML; Java,no,no,yes,not provided,21.11115/0000-000B-D0A2-2
36,Early Modern,16th,Alciato's Book of Emblems,http://www.mun.ca/alciato/,yes,yes,no,LAT,Book,1995,2005,William Barker,Memorial University of Newfoundland,not provided,partly,partly,partly,no,no,yes,yes,no,no,no,ENG,no,no,no,no,no,yes,no,no,no,no,no,yes,Keyed,no,not provided,not provided,Various,Italy,not provided,not provided,not provided,no,no,yes,not provided,21.11115/0000-000B-D0A3-1
37,Early Modern,1605,Electronic Variorum Edition of the Quixote,http://www.csdl.tamu.edu:8080/veri/index-en.html,yes,yes,yes,SPA,Manuscript,not provided,not provided,Eduardo Urbina,Texas A&M University,not provided,partly,not provided,yes,no,no,yes,yes,no,no,not provided,ENG,no,no,no,no,no,yes,no,no,no,no,no,no,Keyed,no,not provided,not provided,not provided,Spain,not provided,not provided,not provided,no,no,yes,not provided,21.11115/0000-000B-D0A4-0
38,Antiquity; Middle Ages,4th-9th,Corpus Rhythmorum Musicum (SAEC. IV-IX) I - Songs from non-liturgical sources,http://www.corimu.unisi.it/,yes,yes,yes,LAT,Manuscript,2007,present,Francesco Stella,Università degli Studi di Siena ad Arezzo; Università degli Studi di Bergamo,not provided,yes,not provided,yes,no,no,no,no,no,no,not provided,ITA; ENG,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,Keyed,no,not provided,not provided,Various,Various,Università di Siena; Società Internazionale per lo Studio del Medioevo Latino,not provided,CDROM and web,yes,no,yes,not provided,21.11115/0000-000B-D0A5-F
39,Antiquity,180 BC,The Book of Ben Sira,http://www.bensira.org/,yes,yes,yes,HEB,Codex,not provided,not provided,Gary A. Rendsburg,Rutgers University,Scholars; laypeople,partly,not provided,yes,no,no,yes,yes,no,no,ENG,ENG,no,yes,no,no,no,yes,no,no,no,yes,no,yes,Keyed,no,not provided,not provided,University of Cambridge; Oxford; London; Paris; New York; Los Angeles; Jerusalem,Cairo Genizah,not provided,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D0A6-E
40,Middle Ages,1365-1431,Christine de Pizan: The Making of the Queen's Manuscript,http://www.pizan.lib.ed.ac.uk/,yes,yes,yes,FRO,Codex,2004,2009,James Laidlaw,University of Edinburgh,not provided,yes,not provided,yes,yes,no,yes,no,no,no,not provided,ENG,yes,no,no,no,no,Open Access and Open Source (some data),no,no,no,yes,no,yes,Keyed,no,not provided,not provided,British Library,France,AHRC,"£199,716.00",not provided,yes,no,no,not provided,21.11115/0000-000B-D0A7-D
41,Middle Ages,9th-15th,Corpus of the Inscriptions of Campā (CIC),http://isaw.nyu.edu/publications/inscriptions/campa/,yes,yes,yes,SAN; VIE,Inscription,2009,present,not provided,École française d'Extrême-Orient; Institute for the Study of the Ancient World,not provided,partly,not provided,yes,yes,yes,yes,yes,no,no,not provided,ENG,no,yes,yes,no,yes,Open Access and Open Source (some data),no,no,no,no,no,yes,Keyed,no,not provided,not provided,Various,Campā Vietnam,"Toyota Foundation (grant number D10-ID-1026); École française d'Extrème-Orient (EFEO); Center for Khmer Studies (Siem Reap, Cambodia)",not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D0A8-C
42,Middle Ages,1290-1320,Dante Online,http://www.danteonline.it/italiano/home_ita.asp,yes,yes,yes,ITA,Manuscript,not provided,not provided,not provided,Società Dantesca Italiana,not provided,no,not provided,yes,no,no,partly,yes,no,no,not provided,ITA; ENG,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,Keyed,no,not provided,not provided,Various,Italy,Ente Cassa di Risparmio di Firenze,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D0A9-B
43,Long Nineteenth Century,1825-1868,Darwin Correspondence Project,http://www.darwinproject.ac.uk/,yes,yes,yes,ENG,Manuscript; Letter,2002,present,James A. Secord,University of Cambridge; American Council of Learned Societies,not provided,partly,not provided,yes,partly,no,no,no,no,no,no,ENG,no,yes,yes,yes,no,yes,no,no,no,yes,partly,no,Keyed,yes,yes,yes,Cambridge University Library,England,Andrew W. Mellon Foundation; Alfred P. Sloan Foundation; AHRC; The Bonita Trust; British Academy; British Ecological Society; Evolution Education Trust; Golden Family Foundation; Isaac Newton Trust; John Templeton Foundation; National Science Foundation; National Endowment for the Humanities; Natural Environment Research Council; Pew Charitable Trusts; Pilgrim Trust; Royal Society; Stifterverband für die Deutsche Wissenschaft; Wellcome Trust,not provided,Drupal; TEI-XML; XTF; Adobe InDesign,yes,no,yes,not provided,21.11115/0000-000B-D0AA-A
44,Modern,1950,De Trein der Traagheid,http://edities.kantl.be/daisne/,yes,yes,yes,DUT,Printed book,2004,2012,Edward Vanhoutte,Centrum voor Teksteditie en Bronnenstudie (Koninklijke Academie voor Nederlandse Taal- en Letterkunde),Scholars; students; general public,yes,yes,yes,yes,yes,partly,no,no,no,no,DUT,no,no,yes,yes,yes,Open Access and Open Source (all data),no,no,no,yes,yes,no,Keyed,no,yes,no,Letterenhuis,Belgium,not provided,not provided,EXist-db; XSLT; XQuery,yes,no,yes,not provided,21.11115/0000-000B-D0AB-9
45,Early Modern,17th,Early Stuart Libels,http://www.earlystuartlibels.net/htdocs/index.html,yes,yes,yes,ENG,Manuscript,not provided,not provided,Alastair Bellany; Andrew McRae,Rutgers University,not provided,partly,not provided,yes,yes,no,no,no,no,no,no,ENG,no,yes,yes,no,no,yes,no,no,no,yes,yes,no,Keyed,no,yes,not provided,Various,England,AHRC; Rutgers University; University of Exeter; Australian Research Council; British Academy; Mrs. Giles M. Whiting Foundation; Princeton University; University of Sydney,not provided,Xpath Visualiser; XMLSpy Home Edition; Adobe Professional 6; PaintShopPro; Instant Saxon 6.2.2; ActivePerl 5.6; PHP 4.1; Adobe PhotoShop 7; Apache HTTP Server 2.0; Amaya; ConTEXT; NoteTab Standard; TEI-XML; XSLT,yes,no,no,not provided,21.11115/0000-000B-D0AC-8
46,Middle Ages,16th-17th,Folger Shakespeare Editions,http://www.folgerdigitaltexts.org/,yes,yes,yes,ENG,Manuscript,not provided,not provided,Barbara Mowat; Paul Werstine,Folger Shakespeare Library,not provided,partly,not provided,yes,yes,yes,no,no,no,no,no,ENG,no,yes,yes,yes,yes,Open Access and Open Source (some data),no,yes,no,yes,no,no,Keyed,yes,yes,not provided,Folger Shakespeare Library,England,not provided,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D0AD-7
